,季節,季語,読み仮名,傍題
450,春,春の野,はるのの,春野・はるぬ・春郊
451,春,春の蠅,はるのはえ,
452,春,春の日,はるのひ,春日・春日・春日影
453,春,春の灯,はるのひ,春燈・春の燈・春ともし・春の燭
454,春,春の星,はるのほし,春星
455,春,春の水,はるのみず,春水・水の春
456,春,春の霙,はるのみぞれ,春霙
457,春,春の山,はるのやま,春山・春嶺・弥生山・春山辺
458,春,春の闇,はるのやみ,
459,春,春の夕焼,はるのゆうやけ,春夕焼
460,春,春の雪,はるのゆき,春雪・春吹雪・淡雪・沫雪・牡丹雪
461,春,春の夢,はるのゆめ,
462,春,春の夜,はるのよ,春夜・夜半の春
463,春,春の宵,はるのよい,春宵・宵の春
464,春,春の炉,はるのろ,春炉・春囲炉裏・炉塞・炉の名残
465,春,春疾風,はるはやて,春疾風・春嵐・春荒れ・春北風
466,春,春日傘,はるひがさ,
467,春,春火鉢,はるひばち,春火桶
468,春,春深し,はるふかし,春闌く・春更く・春深む
469,春,春祭,はるまつり,
470,春,春めく,はるめく,春動く・春きざす
471,春,春休,はるやすみ,
472,春,春竜胆,はるりんどう,筆竜胆・苔竜胆
473,春,榛の花,はんのはな,榛の花・赤楊の花
474,春,薔薇の芽,ばらのめ,茨の芽
475,春,馬鈴薯植う,ばれいしょうう,
476,春,バレンタインデー,ばれんたいんでー,バレンタインの日
477,春,晩春,ばんしゅん,
478,春,彼岸,ひがん,お彼岸・入彼岸・彼岸過ぎ・彼岸婆
479,春,彼岸会,ひがんえ,彼岸詣・彼岸参・彼岸寺・お中日・彼岸団子・彼岸餅
480,春,彼岸桜,ひがんざくら,
481,春,引鴨,ひきがも,行く鴨・帰る鴨・鴨帰る
482,春,引鶴,ひきづる,鶴帰る・帰る鶴・去る鶴・残る鶴
483,春,蘖,ひこばえ,
484,春,菱餅,ひしもち,
485,春,鹿尾菜,ひじき,鹿尾菜・ひじき刈
486,春,干鱈,ひだら,ほしだら・棒鱈
487,春,羊の毛刈る,ひつじのけかる,羊毛剪る・羊剪毛・剪毛期
488,春,ひとで,ひとで,海星
489,春,人麻呂忌,ひとまろき,人麿忌・人丸忌・人丸祭
490,春,一人静,ひとりしずか,吉野静・まゆはき草
491,春,雛市,ひないち,雛店
492,春,雛納め,ひなおさめ,
493,春,日永,ひなが,永き日・永日・日永し
494,春,雛菊,ひなぎく,長命菊・延命菊・ときしらず・デージー
495,春,雛流し,ひなながし,雛送り・流し雛・捨雛
496,春,雛祭,ひなまつり,雛・ひひな・雛遊び・雛飾・雛人形・内裏雛・官女雛・五人囃・男雛・女雛・紙雛・立雛・土雛・雛壇・雛の調度・雛道具・雛菓子・雛あられ・雛の燈・雛の客・雛の宴・雛の宿・吊し雛
497,春,雲雀,ひばり,告天子・初雲雀・揚雲雀・落雲雀・朝雲雀・夕雲雀・雲雀野・雲雀籠・雲雀笛・叫天子
498,春,ヒヤシンス,ひやしんす,風信子
499,春,ビキニ忌,びきにき,ビキニデー
500,春,風生忌,ふうせいき,艸魚忌・
501,春,風船,ふうせん,風船玉・紙風船・ゴム風船・風船売
502,春,蕗の薹,ふきのとう,蕗の芽・蕗の花・春の蕗
503,春,蕗味噌,ふきみそ,
504,春,藤,ふじ,藤の花・白藤・山藤・藤の房・藤浪・藤棚
505,春,二人静,ふたりしずか,
506,春,復活祭,ふっかつさい,イースター・聖週間・染卵・彩（いろ）卵
507,春,二日灸,ふつかきゅう,二日灸・春の灸
508,春,フリージア,ふりーじあ,
509,春,古草,ふるくさ,
510,春,仏生会,ぶっしょうえ,灌仏会・降誕会・誕生会・浴仏会・花祭・花御堂・花の塔・花亭
511,春,ぶらんこ,ぶらんこ,鞦韆（しゅうせん）・秋千・ぶらんこ・ふらここ・ふらんと・半仙戯・ブランコ
512,春,蛇穴を出づ,へびあなをいづ,蛇出づ
513,春,ヘリオトロープ,へりおとろーぷ,香水木
514,春,遍路,へんろ,お遍路・遍路笠・遍路杖・遍路道・遍路寺・遍路宿・善根宿・四国巡り・一国巡り・島四国
515,春,抱卵期,ほうらんき,抱卵季・鳥の卵・小鳥の卵・雀の卵
516,春,菠薐草,ほうれんそう,
517,春,頬白,ほおじろ,
518,春,干鰈,ほしがれい,
519,春,蛍烏賊,ほたるいか,まついか
520,春,防風摘む,ぼうふうつむ,防風掘る
521,春,木瓜の花,ぼけのはな,花木瓜・緋木瓜・白木瓜・更紗木瓜
522,春,牡丹の芽,ぼたんのめ,
523,春,ボートレース,ぼーとれーす,短艇競漕・競漕・レガッタ
524,春,真菰の芽,まこものめ,若菰・芽張るかつみ・かつみの芽
525,春,鱒,ます,本鱒・川鱒・桜鱒・紅鱒・姫鱒
526,春,松の花,まつのはな,十返りの花・松花粉
527,春,松毟鳥,まつむしり,まつくぐり・菊戴
528,春,馬蛤貝,まてがい,馬刀貝・馬刀
529,春,蝮草,まむしぐさ,蝮蛇草
530,春,豆の花,まめのはな,花豆
531,春,金縷梅,まんさく,銀縷梅・まんさくの花
532,春,御影供,みえいく,御影講・大師忌・空海忌・弘法忌
533,春,水草生ふ,みずくさおう,水草生ふ・藻草生ふ
534,春,水菜,みずな,京菜・壬生菜
535,春,水温む,みずぬるむ,温む水
536,春,三葉芹,みつばせり,みつば
537,春,三椏の花,みつまたのはな,黄瑞香
538,春,緑の週間,みどりのしゅうかん,緑化週間・緑の羽根・植樹祭
539,春,みどりの日,みどりの日,
540,春,水口祭,みなくちまつり,苗代祭・田祭・五十串・水口の幣
541,春,峰入り,みねいり,大峰入・順の峰入・順の峰・入峰
542,春,壬生念仏,みぶねんぶつ,壬生祭・壬生狂言・壬生踊・壬生の鉦・壬生の面
543,春,ミモザの花,みもざのはな,銀葉（ぎんよう）アカシア
544,春,都踊,みやこおどり,
545,春,都忘れ,みやこわすれ,
546,春,茗荷竹,みょうがたけ,
547,春,麦鶉,むぎうずら,
548,春,麦踏,むぎふみ,麦を踏む
549,春,葎若葉,むぐらわかば,
550,春,蒸鰈,むしがれい,柳むし・柳むしがれひ
551,春,睦五郎,むつごろう,むつ・むつ掘る・むつ掛・むつ曳網
552,春,郁子の花,むべのはな,うべの花・常磐あけび
553,春,鳴雪忌,めいせつき,老梅忌・二十日忌
554,春,目刺,めざし,ほほざし
555,春,目貼剥ぐ,めばりはぐ,
556,春,メーデー,めーでー,労働祭・五月祭・メーデー歌・労働歌
557,春,茂吉忌,もきちき,
558,春,木蓮,もくれん,木蘭・紫木蓮・白木蓮・白れん・木蓮華
559,春,海雲,もずく,水雲
560,春,物種蒔く,ものだねまく,胡瓜蒔く・南瓜蒔く・糸瓜蒔く・西瓜蒔く・茄子蒔く
561,春,ものの芽,もののめ,物芽・菖蒲の芽・芍薬の芽
562,春,桃の節句,もものせっく,三月節句・弥生の節句・雛の節句・上巳の節供・桃の日
563,春,桃の花,もものはな,白桃・緋桃
564,春,諸子,もろこ,諸子魚・諸子はえ・初諸子・柳諸子
565,春,八重桜,やえざくら,
566,春,焼野,やけの,焼野原・焼原・末黒野・末黒
567,春,靖国祭,やすくにまつり,招魂祭
568,春,安良居祭,やすらういまつり,安良居・夜洲礼・安良居花・花踊・今宮祭
569,春,寄居虫,やどかり,がうな
570,春,柳,やなぎ,青柳・楊柳・枝垂柳・糸柳・遠柳・川柳・門柳・白楊・杞楊・柳蔭・柳の糸・若柳
571,春,柳の芽,やなぎのめ,芽柳・芽ばり柳
572,春,柳鮠,やなぎはえ,はえ・はや
573,春,屋根替,やねかえ,葺替・屋根葺く
574,春,山桜,やまざくら,
575,春,山吹,やまぶき,面影草・かがみ草・八重山吹・濃山吹・葉山吹
576,春,山吹草,やまぶきそう,草山吹
577,春,山焼く,やまやく,山焼・焼山・山火
578,春,山笑う,やまわらう,笑う山
579,春,弥生,やよい,
580,春,雪囲とる,ゆきがこいとる,雪垣解く・雪除とる・冬構解く・雪吊解く
581,春,雪形,ゆきがた,
582,春,雪しろ,ゆきしろ,雪汁・雪濁り・雪しろ水
583,春,雪解,ゆきどけ,雪解・雪解水・雪解川・雪解風・雪解光・雪解雫・雪解野
584,春,雪の果,ゆきのはて,名残の雪・雪の別れ・別れ雪・忘れ雪
585,春,雪間,ゆきま,雪のひま・雪の絶間・雪間草
586,春,雪虫,ゆきむし,
587,春,雪柳,ゆきやなぎ,小米花
588,春,雪割,ゆきわり,雪切
589,春,雪割草,ゆきわりそう,洲浜草・
590,春,行く春,ゆくはる,春行く・春終る・逝春・春尽く
591,春,山桜桃の花,ゆすらのはな,英桃
592,春,余寒,よかん,残る寒さ
593,春,義仲忌,よしなかき,
594,春,吉野の花会式,よしののはなえしき,吉野の会式・花会式・鬼踊・餅配
595,春,嫁菜,よめな,萩菜・よめがはぎ・嫁菜飯
596,春,蓬,よもぎ,餅草・艾草・さしも草・蓬生・蓬摘む
597,春,ライラック,らいらっく,リラの花
598,春,落花,らっか,散る桜・花吹雪・飛花・花散る・花屑・花の塵・紅雨・花筏
599,春,利休忌,りきゅうき,利久忌・宗易忌
600,春,立春,りっしゅん,春立つ・春来る・立春大吉（りっしゅんだいきち）
601,春,柳絮,りゅうじょ,柳の絮・柳の花・柳絮飛ぶ
602,春,龍天に昇る,りゅうてんにのぼる,竜天に登る
603,春,流氷,りゅうひょう,氷流る・流氷期
604,春,良寛忌,りょうかんき,
605,春,リラ冷え,りらびえ,
606,春,林檎の花,りんごのはな,花林檎
607,春,連翹,れんぎょう,いたちぐさ
608,春,蓮如忌,れんにょき,中宗会・吉崎詣・蓮如輿
609,春,若鮎,わかあゆ,小鮎・鮎の子・上り鮎
610,春,若草,わかくさ,嫩草・初草・新草・若草野
611,春,公魚,わかさぎ,桜魚・公魚漁・公魚舟
612,春,若芝,わかしば,芝萌ゆ・芝青む・春の芝
613,春,若緑,わかみどり,若松・緑立つ・初緑・松の芯・松の緑
614,春,若布,わかめ,和布・若布刈・若布刈舟
615,春,嫩芽,わかめ,
616,春,別れ霜,わかれじも,忘れ霜・霜の名残・霜の別れ・霜の果・晩霜
617,春,山葵,わさび,土山葵・葉山葵・山葵田・山葵沢
618,春,勿忘草,わすれなぐさ,ミヨソティス・藍微塵
619,春,渡り漁夫,わたりぎょふ,漁夫募る・漁夫来る・ヤンシュ来る
620,春,蕨,わらび,早蕨・初蕨・蕨狩・干蕨
621,春,蕨餅,わらびもち,
622,夏,アイスコーヒー,あいすこーひー,アイスティー・冷しコーヒー・冷し紅茶
623,夏,愛鳥週間,あいちょうしゅうかん,バードウィーク・バードデー・鳥の日
624,夏,青蘆,あおあし,青葦・蘆茂る
625,夏,青嵐,あおあらし,風青し・夏嵐
626,夏,葵,あおい,花葵・銭葵・蜀葵（からあおい）・立葵
627,夏,葵祭,あおいまつり,賀茂祭・北祭・賀茂葵・懸葵
628,夏,青梅,あおうめ,梅の実・実梅・小梅
629,夏,青柿,あおがき,柿青し
630,夏,梧桐,あおぎり,梧桐（ごとう）
631,夏,青胡桃,あおくるみ,生胡桃
632,夏,青鷺,あおさぎ,
633,夏,青山河,あおさんが,
634,夏,青山椒,あおさんしょう,
635,夏,青芝,あおしば,夏芝
636,夏,青芒,あおすすき,芒茂る
637,夏,青簾,あおすだれ,簾・竹簾・葭簾・伊予簾・絵簾・板簾・古簾
638,夏,青田,あおた,青田風・青田波・青田道
639,夏,青竹,あおたけ,
640,夏,青畳,あおだたみ,
641,夏,青蔦,あおつた,蔦茂る
642,夏,青唐辛子,あおとうがらし,青唐辛・青蕃椒・葉唐辛子
643,夏,青野,あおの,
644,夏,青葉,あおば,青葉山・青葉風・青葉時雨・青時雨・青葉雨
645,夏,青葉木菟,あおばずく,
646,夏,青葡萄,あおぶどう,
647,夏,青鬼灯,あおほほづき,青酸漿
648,夏,青みどろ,あおみどろ,青味泥（あおみどろ）
649,夏,青桃,あおもも,
650,夏,青林檎,あおりんご,
651,夏,赤鱏,あかえい,えひ・えひ
652,夏,藜,あかざ,しろざ
653,夏,アカシアの花,あかしあのはな,ニセアカシアの花・針槐の花
654,夏,秋近し,あきちかし,秋を待つ・秋隣
655,夏,麻,あさ,大麻・麻の葉・麻刈・麻引・麻の花・麻畠
656,夏,朝顔,あさがお,牽牛花・蕣（あさがお）・朝顔の実・種朝顔
657,夏,朝顔市,あさがおいち,
658,夏,朝曇,あさぐもり,
659,夏,朝凪,あさなぎ,朝凪ぐ
660,夏,朝焼,あさやけ,
661,夏,鯵,あじ,真鯵・室鯵・夕鯵・鯵売
662,夏,紫陽花,あじさい,四葩（よひら）・七変化（しちへんげ）
663,夏,鯵刺,あじさし,鮎刺・鮎鷹
664,夏,東踊,あずまおどり,
665,夏,汗,あせ,汗ばむ・玉の汗・汗疹・汗水・汗みどろ
666,夏,汗拭ひ,あせぬぐい,ハンカチーフ・ハンカチ・汗ふき・汗手拭
667,夏,汗疹,あせも,あせぼ
668,夏,暑し,あつし,暑さ・暑・暑気・炎暑・炎ゆ・熱帯夜
669,夏,穴子,あなご,海鰻・うみうなぎ
670,夏,油照,あぶらでり,脂照
671,夏,雨蛙,あまがえる,枝蛙・青蛙・夏蛙
672,夏,雨乞,あまごい,祈雨・雨の祈
673,夏,甘酒,あまざけ,一夜酒
674,夏,アマリリス,あまりりす,
675,夏,網戸,あみど,網障子
676,夏,飴湯,あめゆ,冷し飴
677,夏,水馬,あめんぼう,あめんぼ・みずすまし・水蜘蛛
678,夏,あやめ,あやめ,渓孫・花あやめ
679,夏,鮎,あゆ,香魚・年魚・鮎の宿
680,夏,鮎釣,あゆつり,鮎漁・囮鮎・鮎釣解禁・川明・鮎狩
681,夏,洗膾,あらひ,洗鯉・洗鱸・洗鯛・生作り
682,夏,荒布,あらめ,黒菜・荒布刈る・荒布干す
683,夏,蟻,あり,山蟻・蟻の道・蟻の塔・蟻塚・蟻の列・蟻の門渡り
684,夏,蟻地獄,ありじごく,あとすざり・擂鉢虫・あとさり虫
685,夏,袷,あわせ,素袷・初袷・綿抜・古袷
686,夏,鮑,あわび,鮑取・鮑海女
687,夏,安居,あんご,夏安居・雨安居・夏げ・一夏・夏行・夏籠・夏断・夏入・結夏・解夏・夏百合・夏書・夏花
688,夏,杏,あんず,杏子・からもも・杏の実
689,夏,誘蛾燈,いうがとう,
690,夏,烏賊釣,いかつり,烏賊釣火・烏賊火・烏賊釣舟
691,夏,藺刈,いかり,藺草刈・藺干す・藺車
692,夏,泉,いずみ,
693,夏,虎杖の花,いたどりのはな,紅虎杖
694,夏,苺,いちご,覆盆子・苺摘み・苺畑・草苺
695,夏,鳶尾草,いちはつ,一八・紫羅傘（いちはつ）
696,夏,厳島管絃祭,いつくしまかんげんさい,厳島祭
697,夏,糸取,いととり,糸引・糸取鍋・糸取女・糸取歌
698,夏,糸蜻蛉,いととんぼ,燈心蜻蛉・とうずみ蜻蛉・とうすみ
699,夏,糸みみず,いとみみず,
700,夏,藺の花,いのはな,藺草・燈心草・燈心草の花・藺田
701,夏,ゐもり,いもり,井守・赤腹
702,夏,岩魚,いわな,嘉魚・巌魚・岩魚釣
703,夏,鵜,う,海鵜・河鵜
704,夏,茴香の花,ういきょうのはな,
705,夏,植田,うえだ,
706,夏,鵜飼,うかい,徒歩鵜・鵜匠・鵜遣・鵜縄・荒鵜・疲れ鵜・鵜籠・鵜舟・鵜篝
707,夏,萍,うきくさ,浮草・根無草・萍の花
708,夏,浮巣,うきす,鳰の浮巣・鳰の巣
709,夏,浮人形,うきにんぎょう,浮いて来い
710,夏,薄翅蜉蝣,うすばかげろう,
711,夏,羅,うすもの,絽・紗・軽羅・薄衣
712,夏,打水,うちみず,水を打つ・水撒き
713,夏,団扇,うちわ,白団扇・絵団扇・渋団扇・古団扇・団扇掛
714,夏,空蟬,うつせみ,蟬の殻・蟬の脱殻
715,夏,靭草,うつぼぐさ,空穂草・夏枯草
716,夏,卯月,うづき,卯の花月
717,夏,独活の花,うどのはな,
718,夏,優曇華,うどんげ,
719,夏,鰻,うなぎ,鰻
720,夏,卯波,うなみ,皐月波
721,夏,卯の花,うのはな,空木の花・花うつぎ・姫うつぎ・山卯木・卯の花垣
722,夏,卯の花腐し,うのはなくたし,
723,夏,海亀,うみがめ,
724,夏,海猫,うみねこ,
725,夏,海の日,うみのひ,海の記念日
726,夏,海開き,うみびらき,
727,夏,海酸漿,うみほおずき,
728,夏,梅酒,うめしゅ,梅酒・梅焼酎
729,夏,梅干,うめぼし,梅干す・梅漬・夜干の梅・干梅・梅筵・梅酢
730,夏,瓜,うり,初瓜・瓜作り・瓜畑
731,夏,瓜の花,うりのはな,
732,夏,瓜番,うりばん,瓜守・瓜小屋・瓜番小屋
733,夏,瓜揉み,うりもみ,瓜揉む・揉瓜・胡瓜揉み
734,夏,漆掻,うるしかき,漆取る
735,夏,雲海,うんかい,
736,夏,えごの花,えごのはな,山苣の花
737,夏,えぞにうの花,えぞにうの花,蝦夷丹生（えぞにう）の花・にうのはな
738,夏,金雀枝,えにしだ,
739,夏,槐の花,えんじゅのはな,花槐
740,夏,炎昼,えんちゅう,夏の昼
741,夏,炎宙,えんちゅう,
742,夏,炎天,えんてん,炎気・炎天下
743,夏,豌豆,えんどう,莢豌豆
744,夏,花魁草,おいらんそう,草夾竹桃
745,夏,扇,おうぎ,扇子・白扇・絵扇・古扇
746,夏,黄蜀葵,おうしょくき,とろろあおい
747,夏,楝の花,おうちのはな,樗の花・花樗・栴檀の花
748,夏,桜桃忌,おうとうき,太宰忌
749,夏,車前草の花,おおばこのはな,大車前・おんばこ・かへるば
750,夏,大山蓮華,おおやまれんげ,天花女
751,夏,大瑠璃,おおるり,瑠璃
752,夏,沖膾,おきなます,
753,夏,沖縄慰霊の日,おきなわいれいのひ,沖縄忌
754,夏,オクラ,おくら,
755,夏,含羞草,おじぎそう,眠草
756,夏,御田植,おたうえ,御田・神植・御田祭
757,夏,落し文,おとしぶみ,鶯のおとし文・時鳥の落し文
758,夏,踊子草,おどりこそう,踊草・踊花
759,夏,お花畑,おはなばたけ,お花畠
760,夏,お化け屋敷,おばけやしき,幽霊・肝試・怪談・百物語
761,夏,沢瀉,おもだか,花慈姑
762,夏,泳ぎ,およぎ,水泳・水練・遊泳・競泳・遠泳・ダイビング・浮輪
763,夏,蚊,か,
764,夏,蚕の上蔟,かいこのあがり,上蔟
765,夏,海水着,かいすいぎ,水着・海水帽・ビキニ・ハイレグ
766,夏,海水浴,かいすいよく,潮浴び・海の家
767,夏,夏期講習会,かきこうしゅうかい,夏期大学
768,夏,燕子花,かきつばた,杜若
769,夏,柿の花,かきのはな,
770,夏,柿若葉,かきわかば,
771,夏,霍乱,かくらん,
772,夏,籠枕,かごまくら,籐枕・陶枕
773,夏,樫若葉,かしわかば,樫茂る・青樫
774,夏,柏餅,かしわもち,
775,夏,河鹿,かじか,河鹿蛙・河鹿笛
776,夏,風薫る,かぜかおる,薫風・薫る風
777,夏,風死す,かぜしす,
778,夏,片蔭,かたかげ,日陰・片かげり
779,夏,蝸牛,かたつむり,蝸牛・ででむし・でんでんむし
780,夏,酢漿の花,かたばみのはな,酢漿草
781,夏,帷子,かたびら,白帷子・染帷子・黄帷子
782,夏,郭公,かっこう,閑古鳥・かつこ鳥
783,夏,河童忌,かっぱき,我鬼忌・龍之介忌
784,夏,鰹,かつお,松魚・鰹釣・鰹船
785,夏,蟹,かに,山蟹・沢蟹・川蟹・磯蟹
786,夏,黴,かび,青黴・毛黴・麹黴・黴の宿・黴の香
787,夏,兜虫,かぶとむし,甲虫　さいかち虫　鍬形
788,夏,南瓜の花,かぼちゃのはな,
789,夏,蟷螂生る,かまきりうまる,蟷螂生る・子かまきり
790,夏,髪洗う,かみあらう,洗ひ髪・髪洗ふ
791,夏,天牛,かみきり,髪切虫・かみきり
792,夏,雷,かみなり,神鳴・雷・いかづち・はたた神・雷鳴・遠雷・軽雷・落雷・雷雨・日雷
793,夏,亀の子,かめのこ,銭亀
794,夏,蚊帳,かや,かや・枕蚊帳・母衣蚊帳
795,夏,蚊帳吊草,かやつりぐさ,
796,夏,蚊遣火,かやりび,蚊遣・蚊火・蚊取線香
797,夏,烏瓜の花,からすうりのはな,
798,夏,鴉の子,からすのこ,烏の子・子烏・親烏
799,夏,空梅雨,からつゆ,旱梅雨
800,夏,軽鳧の子,かるのこ,軽鴨の子
801,夏,川狩,かわがり,投網・川干・毒流し・かへぼり・瀬干し
802,夏,翡翠,かわせみ,川蝉・せうびん・翡翠
803,夏,川蜻蛉,かわとんぼ,おはぐろとんぼ・おはぐろ・かねつけ蜻蛉
804,夏,川開,かわびらき,両国の川開
805,夏,河骨,かわほね,かうほね
806,夏,萱草の花,かんぞうのはな,ひるな・花萱草・忘草・藪萱草
807,夏,干瓢剥く,かんぴょうむく,干瓢干す・新干瓢
808,夏,カーネーション,かーねーしょん,和蘭石竹
809,夏,蛾,が,
810,夏,金銀蓮花,ががぶた,鏡蓋
811,夏,ががんぼ,ががんぼ,蚊蜻蛉・蚊の姥・大蚊
812,夏,額の花,がくのはな,額紫陽花
813,夏,ガタリンピック,がたりんぴっく,
814,夏,がまずみの花,がまずみのはな,莢迷（がまずみ）の花、鎌酸実（がまずみ）の花
815,夏,蒲の穂,がまのほ,蒲の花・蒲・御簾草
816,夏,鑑真忌,がんじんき,
817,夏,岩菲,がんぴ,
818,夏,木苺,きいちご,
819,夏,喜雨,きう,雨喜び
820,夏,胡瓜,きうり,
821,夏,胡瓜の花,きうりのはな,
822,夏,菊挿す,きくさす,菊挿芽・挿菊
823,夏,木耳,きくらげ,
824,夏,鱚,きす,きすご・鱚釣
825,夏,帰省,きせい,帰省子
826,夏,狐の提燈,きつねのちょうちん,宝鐸草の花
827,夏,キャベツ,きゃべつ,甘藍・玉菜・牡丹菜
828,夏,キャンプ,きゃんぷ,キャンピング・テント・バンガロー・キャンプ村・キャンプファイヤー
829,夏,鏡太郎忌,きょうたろうき,
830,夏,夾竹桃,きょうちくとう,桃葉紅（とうようこう）
831,夏,桐の花,きりのはな,花桐
832,夏,金魚,きんぎょ,和金・琉金・蘭鋳・出目金・金魚鉢
833,夏,金魚売,きんぎょうり,金魚すくい
834,夏,金魚草,きんぎょそう,
835,夏,金魚玉,きんぎょだま,金魚鉢
836,夏,祇園祭,ぎおんまつり,祇園会・祇園御霊会・天王祭・山鉾・祇園囃子・祇園太鼓・祇園山笠・鉾祭・鉾立・弦召
837,夏,羊蹄の花,ぎしぎしのはな,野大黄
838,夏,擬宝珠の花,ぎぼうしのはな,花擬宝珠・ぎぼし
839,夏,牛馬冷す,ぎゅうばひやす,牛冷す・馬冷す・牛洗ふ・馬洗ふ
840,夏,行水,ぎょうずい,
841,夏,水鶏,くいな,水鶏笛
842,夏,草いきれ,くさいきれ,草のいきれ
843,夏,草孵蝣,くさかげろう,臭浮蝣
844,夏,草刈,くさかり,朝草刈・草刈女・草刈籠
845,夏,草茂る,くさしげる,茂る草
846,夏,草田男忌,くさたおき,
847,夏,草取,くさとり,草むしり・除草
848,夏,草笛,くさぶえ,
849,夏,草矢,くさや,
850,夏,孔雀草,くじゃくそう,波斯菊・蛇の目草
851,夏,薬玉,くすだま,長命縷・五月玉
852,夏,薬狩,くすりがり,薬猟
853,夏,樟若葉,くすわかば,楠若葉・楠茂る・青楠
854,夏,葛饅頭,くずまんじゅう,葛桜
855,夏,葛水,くずみず,
856,夏,葛餅,くずもち,葛練・葛切
857,夏,梔子の花,くちなしのはな,梔子・山梔子
858,夏,蜘蛛,くも,袋蜘蛛・蜘蛛の囲・蜘蛛の巣・蜘蛛の糸・蜘蛛の子・女郎蜘蛛
859,夏,雲の峰,くものみね,入道雲・積乱雲・雷雲・峰雲
860,夏,海月,くらげ,水母・水月
861,夏,競馬,くらべうま,賀茂の競馬・きそひ馬
862,夏,鞍馬の竹伐,くらまのたけきり,竹伐・竹伐会・蓮華会
863,夏,栗の花,くりのはな,花栗・栗咲く
864,夏,胡桃の花,くるみのはな,花胡桃
865,夏,黒鯛,くろだい,ちぬ・ちぬ釣
866,夏,黒南風,くろはえ,白南風
867,夏,桑の実,くわのみ,桑いちご
868,夏,グラジオラス,ぐらじおらす,唐菖蒲・和蘭あやめ
869,夏,競渡,けいと,ペーロン・ペーロン船・ハーリー・爬竜船
870,夏,罌栗の花,けしのはな,芥子の花・花罌栗・芥子
871,夏,罌栗坊主,けしぼうず,芥子坊主・罌栗の実
872,夏,毛虫,けむし,毛虫焼く
873,夏,螻蛄,けら,
874,夏,健吉忌,けんきちき,
875,夏,夏書,げがき,
876,夏,夏至,げし,
877,夏,蚰蜒,げじげじ,
878,夏,月下美人,げっかびじん,
879,夏,源五郎,げんごろう,
880,夏,げんのしようこ,げんのしようこ,現の証拠・神輿草
881,夏,原爆忌,げんばくき,原爆の日・広島忌・長崎忌
882,夏,鯉幟,こいのぼり,五月鯉・吹流し・矢車
883,夏,紅蜀葵,こうしょくき,もみじあおい（もみぢあふひ）
884,夏,香水,こうすい,掛香
885,夏,蝙蝠,こうもり,かはほり・蚊喰鳥
886,夏,氷水,こおりみず,削氷・かき氷・夏氷・氷小豆・氷苺・氷店
887,夏,金亀子,こがねむし,黄金虫・かなぶん・ぶんぶん・ぶんぶん虫
888,夏,穀象,こくぞう,穀象虫・米の虫
889,夏,苔の花,こけのはな,花苔
890,夏,木下闇,こしたやみ,木の下闇・下闇・青葉闇・木暮・木暮る・木暗し
891,夏,子供の日,こどものひ,
892,夏,木葉木菟,このはずく,仏法僧・声の仏法僧
893,夏,小判草,こばんそう,俵麦
894,夏,駒繋,こまつなぎ,うまつなぎ
895,夏,駒鳥,こまどり,こま
896,夏,米搗虫,こめつきむし,叩頭虫
897,夏,更衣,ころもがえ,衣更ふ
898,夏,昆虫採集,こんちゅうさいしゅう,捕虫網・毒瓶
899,夏,昆布刈る,こんぶかる,昆布干す・昆布船
900,夏,五位鷺,ごいさぎ,
901,夏,五月,ごがつ,五月来る・聖五月
902,夏,ごきぶり,ごきぶり,油虫・ごきかぶり
903,夏,極暑,ごくしょ,酷暑・劫暑
904,夏,胡麻の花,ごまのはな,
905,夏,御来迎,ごらいごう,御来光・円虹
